Tumor_Sample_Barcode Plate Cell_Type
Frontal-DNA-SC77 PL01 ExN
Frontal-DNA-SC77 PL01 ExN
Frontal-DNA-SC77 PL01 ExN
Frontal-DNA-SC79 PL01 ExN
Frontal-DNA-SC79 PL01 ExN
Frontal-DNA-SC79 PL01 ExN
Frontal-DNA-SC79 PL01 ExN
Frontal-DNA-SC79 PL01 ExN
Frontal-DNA-SC79 PL01 ExN
Frontal-DNA-SC82 PL01 ExN
Frontal-DNA-SC82 PL01 ExN
Frontal-DNA-SC82 PL01 ExN
Frontal-DNA-SC82 PL01 ExN
Frontal-DNA-SC82 PL01 ExN
Frontal-DNA-SC82 PL01 ExN
Frontal-DNA-SC86 PL01 ExN
Frontal-DNA-SC86 PL01 ExN
Frontal-DNA-SC86 PL01 ExN
Frontal-DNA-SC89 PL01 InN
Frontal-DNA-SC89 PL01 InN
Frontal-DNA-SC90 PL01 InN
Frontal-DNA-SC90 PL01 InN
Frontal-DNA-SC91 PL01 InN
Frontal-DNA-SC91 PL01 InN
Frontal-DNA-SC92 PL01 ExN
Frontal-DNA-SC92 PL01 ExN
Frontal-DNA-SC93 PL01 ExN
Frontal-DNA-SC93 PL01 ExN
Frontal-DNA-SC93 PL01 ExN
Frontal-DNA-SC96 PL01 InN
Temporal-DNA-SC01 PL02 ExN
Temporal-DNA-SC02 PL02 ExN
Temporal-DNA-SC02 PL02 ExN
Temporal-DNA-SC06 PL02 InN
Temporal-DNA-SC06 PL02 InN
Temporal-DNA-SC07 PL02 ExN
Temporal-DNA-SC08 PL02 ExN
Temporal-DNA-SC08 PL02 ExN
Temporal-DNA-SC08 PL02 ExN
Temporal-DNA-SC08 PL02 ExN
Temporal-DNA-SC08 PL02 ExN
Temporal-DNA-SC09 PL02 InN
Temporal-DNA-SC10 PL02 ExN
Temporal-DNA-SC10 PL02 ExN
Temporal-DNA-SC10 PL02 ExN
Temporal-DNA-SC10 PL02 ExN
Temporal-DNA-SC13 PL02 InN
Temporal-DNA-SC13 PL02 InN
Temporal-DNA-SC13 PL02 InN
Temporal-DNA-SC13 PL02 InN
Temporal-DNA-SC14 PL02 ExN
Temporal-DNA-SC14 PL02 ExN
Temporal-DNA-SC14 PL02 ExN
Temporal-DNA-SC14 PL02 ExN
Temporal-DNA-SC14 PL02 ExN
Temporal-DNA-SC14 PL02 ExN
Temporal-DNA-SC15 PL02 ExN
Temporal-DNA-SC18 PL02 InN
Temporal-DNA-SC18 PL02 InN
Temporal-DNA-SC21 PL02 ExN
Temporal-DNA-SC21 PL02 ExN
Temporal-DNA-SC21 PL02 ExN
Temporal-DNA-SC21 PL02 ExN
Temporal-DNA-SC21 PL02 ExN
Temporal-DNA-SC22 PL02 ExN
Temporal-DNA-SC24 PL02 InN
Temporal-DNA-SC24 PL02 InN
Temporal-DNA-SC24 PL02 InN
Temporal-DNA-SC26 PL02 ExN
Temporal-DNA-SC26 PL02 ExN
Temporal-DNA-SC26 PL02 ExN
Temporal-DNA-SC27 PL02 InN
Temporal-DNA-SC27 PL02 InN
Temporal-DNA-SC27 PL02 InN
Temporal-DNA-SC27 PL02 InN
Temporal-DNA-SC27 PL02 InN
Temporal-DNA-SC28 PL02 ExN
Temporal-DNA-SC28 PL02 ExN
Temporal-DNA-SC29 PL02 ExN
Temporal-DNA-SC29 PL02 ExN
Temporal-DNA-SC30 PL02 ExN
Temporal-DNA-SC30 PL02 ExN
Temporal-DNA-SC31 PL02 InN
Temporal-DNA-SC31 PL02 InN
Temporal-DNA-SC31 PL02 InN
Temporal-DNA-SC31 PL02 InN
Temporal-DNA-SC31 PL02 InN
Temporal-DNA-SC31 PL02 InN
Temporal-DNA-SC35 PL02 ExN
Temporal-DNA-SC35 PL02 ExN
Temporal-DNA-SC35 PL02 ExN
Temporal-DNA-SC36 PL02 InN
Temporal-DNA-SC37 PL02 ExN
Temporal-DNA-SC39 PL02 ExN
Temporal-DNA-SC39 PL02 ExN
Temporal-DNA-SC39 PL02 ExN
Temporal-DNA-SC39 PL02 ExN
Temporal-DNA-SC40 PL02 InN
Temporal-DNA-SC42 PL02 ExN
Temporal-DNA-SC44 PL02 InN
Temporal-DNA-SC45 PL02 ExN
Temporal-DNA-SC45 PL02 ExN
Temporal-DNA-SC45 PL02 ExN
Temporal-DNA-SC46 PL02 InN
Temporal-DNA-SC47 PL02 ExN
Temporal-DNA-SC48 PL02 ExN
Temporal-DNA-SC48 PL02 ExN
Temporal-DNA-SC48 PL02 ExN
Temporal-DNA-SC48 PL02 ExN
Temporal-DNA-SC48 PL02 ExN
Temporal-DNA-SC48 PL02 ExN
Temporal-DNA-SC48 PL02 ExN
Temporal-DNA-SC48 PL02 ExN
Temporal-DNA-SC49 PL02 ExN
Temporal-DNA-SC51 PL02 InN
Temporal-DNA-SC51 PL02 InN
Temporal-DNA-SC52 PL02 ExN
Temporal-DNA-SC52 PL02 ExN
Temporal-DNA-SC52 PL02 ExN
Temporal-DNA-SC52 PL02 ExN
Temporal-DNA-SC53 PL02 ExN
Temporal-DNA-SC53 PL02 ExN
Temporal-DNA-SC53 PL02 ExN
Temporal-DNA-SC53 PL02 ExN
Temporal-DNA-SC54 PL02 ExN
Temporal-DNA-SC54 PL02 ExN
Temporal-DNA-SC54 PL02 ExN
Temporal-DNA-SC54 PL02 ExN
Temporal-DNA-SC55 PL02 InN
Temporal-DNA-SC57 PL02 InN
Temporal-DNA-SC57 PL02 InN
Temporal-DNA-SC58 PL02 InN
Temporal-DNA-SC61 PL02 InN
Temporal-DNA-SC62 PL02 InN
Temporal-DNA-SC63 PL02 ExN
Temporal-DNA-SC63 PL02 ExN
Temporal-DNA-SC65 PL02 ExN
Temporal-DNA-SC65 PL02 ExN
Temporal-DNA-SC65 PL02 ExN
Temporal-DNA-SC65 PL02 ExN
Temporal-DNA-SC68 PL02 ExN
Temporal-DNA-SC68 PL02 ExN
Temporal-DNA-SC68 PL02 ExN
Temporal-DNA-SC68 PL02 ExN
Temporal-DNA-SC68 PL02 ExN
Temporal-DNA-SC68 PL02 ExN
Temporal-DNA-SC68 PL02 ExN
Temporal-DNA-SC68 PL02 ExN
Temporal-DNA-SC69 PL02 ExN
Temporal-DNA-SC70 PL02 ExN
Temporal-DNA-SC70 PL02 ExN
Temporal-DNA-SC70 PL02 ExN
Temporal-DNA-SC71 PL02 ExN
Temporal-DNA-SC71 PL02 ExN
Temporal-DNA-SC71 PL02 ExN
Temporal-DNA-SC73 PL02 ExN
Temporal-DNA-SC73 PL02 ExN
Temporal-DNA-SC74 PL02 ExN
Temporal-DNA-SC74 PL02 ExN
Temporal-DNA-SC74 PL02 ExN
Temporal-DNA-SC75 PL02 ExN
Temporal-DNA-SC75 PL02 ExN
Temporal-DNA-SC76 PL02 ExN
Temporal-DNA-SC76 PL02 ExN
Temporal-DNA-SC76 PL02 ExN
Temporal-DNA-SC76 PL02 ExN
Temporal-DNA-SC76 PL02 ExN
Temporal-DNA-SC77 PL02 ExN
Temporal-DNA-SC77 PL02 ExN
Temporal-DNA-SC79 PL02 ExN
Temporal-DNA-SC79 PL02 ExN
Temporal-DNA-SC79 PL02 ExN
Temporal-DNA-SC79 PL02 ExN
Temporal-DNA-SC80 PL02 ExN
Temporal-DNA-SC80 PL02 ExN
Temporal-DNA-SC84 PL02 ExN
Temporal-DNA-SC85 PL02 ExN
Temporal-DNA-SC85 PL02 ExN
Temporal-DNA-SC85 PL02 ExN
Temporal-DNA-SC85 PL02 ExN
Temporal-DNA-SC85 PL02 ExN
Temporal-DNA-SC86 PL02 ExN
Temporal-DNA-SC88 PL02 ExN
Temporal-DNA-SC88 PL02 ExN
Temporal-DNA-SC88 PL02 ExN
Temporal-DNA-SC89 PL02 ExN
Temporal-DNA-SC89 PL02 ExN
Temporal-DNA-SC89 PL02 ExN
Temporal-DNA-SC90 PL02 ExN
Temporal-DNA-SC90 PL02 ExN
Temporal-DNA-SC91 PL02 ExN
Temporal-DNA-SC91 PL02 ExN
Temporal-DNA-SC91 PL02 ExN
Temporal-DNA-SC94 PL02 ExN
Temporal-DNA-SC94 PL02 ExN
